OriginalChemName,ChemCode
Anatoxin-a,64285-06-9
Microcystin,101043-37-2
Total Phosphorus,7723-14-0
Pheophytin a,603-17-8
Chlorophyll a,42617-16-3
Ammonia Nitrogen,Ammonia as N
"Calcium, Total, ICP-MS",Calcium
"Conductivity, Field",Conductivity @ 25oC
"Copper, Dissolved, ICP-MS",7440-50-8
"Dissolved Oxygen, Field",Dissolved Oxygen
Escherichia coli,E. Coli
Fecal Coliform,Faecal Coliforms
"Hardness, Calc",CarbHard_as_CaCO3
"Magnesium, Total, ICP-MS",Magnesium
Nitrite + Nitrate Nitrogen,NO3+NO2 (as N)
Orthophosphate Phosphorus,Ortho Phosphorus
"pH, Field",pH (Field)
"Sample Temperature, Field",Temperature
Silica,Silica
Total Alkalinity,Alkalinity (total)
Total Nitrogen,7727-37-9
Turbidity,Turb
"Zinc, Dissolved, ICP-MS",7440-66-6
Total Suspended Solids,TSS
6ppd-quinone,2754428-18-5
250 Micron (less than),<250um
250 Micron to 500 Micron (less than),250-500um
500 Micron (equal to/more than),>500um
Clay,%_Clay
Fines,%Fines
Sand<500,%Sand
Silt,%Silt
p+10.0(more than),PHI >10
p+10.0,PHI +10
p+2.00,PHI +2
p+3.00,PHI +3
p+4.00,PHI +4
p+5.00,PHI +5
p+6.00,PHI +6
p+7.00,PHI +7
p+8.00,PHI +8
p+9.00,PHI +9
