SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,Lab_Analysis_ID,Lab_Preperation_Batch_ID,Lab_Analysis_Batch_ID,EQL,RDL,MDL,ODL,Detection_Limit_Units,Lab_Comments,Lab_Qualifier,UCL,LCL,Dilution_Factor,Spike_Concentration,Spike_Measurement,Spike_Units
24C0045_24C0045-01,7440-66-6,Zinc,,25.2,ug/L,T,REG,Total,EPA 200.8 UCT-KED,3/12/2024 11:50,3/12/2024 20:50,XDTm1240312085,BMC0270,SMC0169,2.92,6,2.92,,ug/L,Lab Batch BMC0270,,,,1,,,
24C0045_24C0045-01,7723-14-0,Phosphorus,,0.074,mg/L,T,REG,Total,SM 4500-P E-11,3/4/2024 12:49,3/6/2024 13:55,PO4TD0306232029,BMC0064,SMC0090,0.008,0.008,0.008,,mg/L,Lab Batch BMC0064,,,,1,,,
24C0045_24C0045-02,7440-66-6,Zinc,,16.1,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,3/15/2024 11:47,3/15/2024 22:10,XDTm1240315a065,BMC0403,SMC0249,2.92,6,2.92,,ug/L,Lab Batch BMC0403,,,,1,,,
24C0045_24C0045-03,7440-66-6,Zinc,,3.17,ug/L,T,REG,Total,EPA 200.8 UCT-KED,3/12/2024 11:50,3/12/2024 21:08,XDTm1240312089,BMC0270,SMC0169,2.92,6,2.92,,ug/L,Lab Batch BMC0270,J,,,1,,,
24C0045_24C0045-03,7723-14-0,Phosphorus,,0.021,mg/L,T,REG,Total,SM 4500-P E-11,3/4/2024 12:49,3/6/2024 13:56,PO4TD0306232030,BMC0064,SMC0090,0.008,0.008,0.008,,mg/L,Lab Batch BMC0064,,,,1,,,
24C0045_24C0045-04,7440-66-6,Zinc,,3.82,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,3/15/2024 11:47,3/15/2024 22:15,XDTm1240315a066,BMC0403,SMC0249,2.92,6,2.92,,ug/L,Lab Batch BMC0403,J,,,1,,,
24C0045_BMC0064-BLK1,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,3/4/2024 12:49,3/6/2024 13:34,PO4TD0306232010,BMC0064,SMC0090,0.008,0.008,0.008,,mg/L,Lab Batch BMC0064,U,,,1,,,
24C0045_BMC0064-BLK2,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,3/4/2024 12:49,3/6/2024 13:48,PO4TD0306232022,BMC0064,SMC0090,0.008,0.008,0.008,,mg/L,Lab Batch BMC0064,U,,,1,,,
24C0045_BMC0064-BLK3,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,3/4/2024 12:49,3/6/2024 13:57,PO4TD0306232031,BMC0064,SMC0090,0.008,0.008,0.008,,mg/L,Lab Batch BMC0064,U,,,1,,,
24C0045_BMC0064-BS1,7723-14-0,Phosphorus,,102,%,T,SC,Total,SM 4500-P E-11,3/4/2024 12:49,3/6/2024 13:34,PO4TD0306232011,BMC0064,SMC0090,0.008,0.008,0.008,,mg/L,Lab Batch BMC0064,,110,90,1,0.15,0.153,mg/L
24C0045_BMC0064-BS2,7723-14-0,Phosphorus,,102,%,T,SC,Total,SM 4500-P E-11,3/4/2024 12:49,3/6/2024 13:49,PO4TD0306232023,BMC0064,SMC0090,0.008,0.008,0.008,,mg/L,Lab Batch BMC0064,,110,90,1,0.15,0.153,mg/L
24C0045_BMC0064-BS3,7723-14-0,Phosphorus,,102,%,T,SC,Total,SM 4500-P E-11,3/4/2024 12:49,3/6/2024 13:58,PO4TD0306232032,BMC0064,SMC0090,0.008,0.008,0.008,,mg/L,Lab Batch BMC0064,,110,90,1,0.15,0.153,mg/L
24C0045_BMC0270-BLK1,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,3/12/2024 11:50,3/12/2024 20:04,XDTm2240312040,BMC0270,SMC0165,2.92,6,2.92,,ug/L,Lab Batch BMC0270,U,,,1,,,
24C0045_BMC0270-BS1,7440-66-6,Zinc,,98.3,%,T,SC,Total,EPA 200.8 UCT-KED,3/12/2024 11:50,3/12/2024 20:09,XDTm2240312041,BMC0270,SMC0165,2.92,6,2.92,,ug/L,Lab Batch BMC0270,,120,80,1,80,78.7,ug/L
24C0045_BMC0403-BLK1,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,3/15/2024 11:47,3/15/2024 16:51,XDTm2240316027,BMC0403,SMC0248,2.92,6,2.92,,ug/L,Lab Batch BMC0403,U,,,1,,,
24C0045_BMC0403-BS1,7440-66-6,Zinc,,114,%,F,SC,Dissolved,EPA 200.8 UCT-KED,3/15/2024 11:47,3/15/2024 16:56,XDTm2240316028,BMC0403,SMC0248,2.92,6,2.92,,ug/L,Lab Batch BMC0403,,120,80,1,80,91.1,ug/L
