SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
24C0045_24C0045-02,2/29/2024 13:42,24-03764 13089 AS-IN,,,,Water,Normal,                    ,,24C0045,ARL,24C0045-02,,24C0045
24C0045_24C0045-01,2/29/2024 13:42,24-03764 13089 AS-IN,,,,Water,Normal,                    ,,24C0045,ARL,24C0045-01,,24C0045
24C0045_24C0045-04,2/29/2024 13:50,24-03764 13090 AS-OUT,,,,Water,Normal,                    ,,24C0045,ARL,24C0045-04,,24C0045
24C0045_24C0045-03,2/29/2024 13:50,24-03764 13090 AS-OUT,,,,Water,Normal,                    ,,24C0045,ARL,24C0045-03,,24C0045
24C0045_BMC0064-BLK1,3/4/2024 12:49,BMC0064-BLK1,,,,Water,MB,,,24C0045,ARL,BMC0064-BLK1,,24C0045
24C0045_BMC0064-BLK2,3/4/2024 12:49,BMC0064-BLK2,,,,Water,MB,,,24C0045,ARL,BMC0064-BLK2,,24C0045
24C0045_BMC0064-BLK3,3/4/2024 12:49,BMC0064-BLK3,,,,Water,MB,,,24C0045,ARL,BMC0064-BLK3,,24C0045
24C0045_BMC0270-BLK1,3/12/2024 11:50,BMC0270-BLK1,,,,Water,MB,,,24C0045,ARL,BMC0270-BLK1,,24C0045
24C0045_BMC0403-BLK1,3/15/2024 11:47,BMC0403-BLK1,,,,Water,MB,,,24C0045,ARL,BMC0403-BLK1,,24C0045
24C0045_BMC0064-BS1,3/4/2024 12:49,BMC0064-BS1,,,,Water,LCS,,,24C0045,ARL,BMC0064-BS1,,24C0045
24C0045_BMC0064-BS2,3/4/2024 12:49,BMC0064-BS2,,,,Water,LCS,,,24C0045,ARL,BMC0064-BS2,,24C0045
24C0045_BMC0064-BS3,3/4/2024 12:49,BMC0064-BS3,,,,Water,LCS,,,24C0045,ARL,BMC0064-BS3,,24C0045
24C0045_BMC0270-BS1,3/12/2024 11:50,BMC0270-BS1,,,,Water,LCS,,,24C0045,ARL,BMC0270-BS1,,24C0045
24C0045_BMC0403-BS1,3/15/2024 11:47,BMC0403-BS1,,,,Water,LCS,,,24C0045,ARL,BMC0403-BS1,,24C0045
