SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,Lab_Analysis_ID,Lab_Preperation_Batch_ID,Lab_Analysis_Batch_ID,EQL,RDL,MDL,ODL,Detection_Limit_Units,Lab_Comments,Lab_Qualifier,UCL,LCL,Dilution_Factor,Spike_Concentration,Spike_Measurement,Spike_Units
24D0126_24D0126-01,7440-66-6,Zinc,,26.3,ug/L,T,REG,Total,EPA 200.8 UCT-KED,4/8/2024 10:54,4/9/2024 2:10,XDTm1240408191,BMD0191,SMD0129,2.92,6,2.92,,ug/L,Lab Batch BMD0191,,,,1,,,
24D0126_24D0126-01,7723-14-0,Phosphorus,,0.031,mg/L,T,REG,Total,SM 4500-P E-11,4/19/2024 16:20,4/24/2024 13:56,PO4T042424srb2009,BMD0535,SMD0412,0.008,0.008,0.008,,mg/L,Lab Batch BMD0535,,,,1,,,
24D0126_24D0126-01,OrthoPhosphorus,Ortho Phosphorus,,0.006,mg/L,T,REG,Total,SM 4500-P E-11,4/5/2024 13:42,4/5/2024 15:35,PO4SRP040524SRB2013,BMD0161,SMD0163,0.004,0.004,0.004,,mg/L,Lab Batch BMD0161,H,,,1,,,
24D0126_24D0126-02,7440-66-6,Zinc,,19.1,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,4/8/2024 13:01,4/9/2024 2:05,XDTm1240408189,BMD0207,SMD0129,2.92,6,2.92,,ug/L,Lab Batch BMD0207,,,,1,,,
24D0126_24D0126-03,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,4/8/2024 10:54,4/9/2024 2:13,XDTm1240408192,BMD0191,SMD0129,2.92,6,2.92,,ug/L,Lab Batch BMD0191,U,,,1,,,
24D0126_24D0126-03,7723-14-0,Phosphorus,,0.009,mg/L,T,REG,Total,SM 4500-P E-11,4/19/2024 16:20,4/24/2024 13:57,PO4T042424srb2010,BMD0535,SMD0412,0.008,0.008,0.008,,mg/L,Lab Batch BMD0535,,,,1,,,
24D0126_24D0126-03,OrthoPhosphorus,Ortho Phosphorus,,0.004,mg/L,T,REG,Total,SM 4500-P E-11,4/5/2024 13:42,4/5/2024 15:37,PO4SRP040524SRB2016,BMD0161,SMD0163,0.004,0.004,0.004,,mg/L,Lab Batch BMD0161,H,,,1,,,
24D0126_24D0126-04,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,4/8/2024 13:01,4/9/2024 2:08,XDTm1240408190,BMD0207,SMD0129,2.92,6,2.92,,ug/L,Lab Batch BMD0207,U,,,1,,,
24D0126_BMD0161-BLK1,OrthoPhosphorus,Ortho Phosphorus,<,0.004,mg/L,T,REG,Total,SM 4500-P E-11,4/5/2024 13:42,4/5/2024 15:34,PO4SRP040524SRB2011,BMD0161,SMD0163,0.004,0.004,0.004,,mg/L,Lab Batch BMD0161,U,,,1,,,
24D0126_BMD0161-BS1,OrthoPhosphorus,Ortho Phosphorus,,103,%,T,SC,Total,SM 4500-P E-11,4/5/2024 13:42,4/5/2024 15:34,PO4SRP040524SRB2012,BMD0161,SMD0163,0.004,0.004,0.004,,mg/L,Lab Batch BMD0161,,110,90,1,0.15,0.155,mg/L
