SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number,
24-06177_21370,4/9/2024 0:00,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-06177_21370,,24-06177,
24-06177_21370,4/9/2024 0:00,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-06177_21370,,24-06177,
24-06177_21370,4/9/2024 0:00,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-06177_21370,,24-06177,
24-06177_21370,4/9/2024 0:00,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-06177_21370,,24-06177,
24-06177_21371,4/9/2024 0:00,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-06177_21371,,24-06177,
24-06177_21371,4/9/2024 0:00,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-06177_21371,,24-06177,
24-06177_21371,4/9/2024 0:00,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-06177_21371,,24-06177,
24-06177_21371,4/9/2024 0:00,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-06177_21371,,24-06177,
24-06177_IW-2024-177_BLK,4/10/2024 0:00,IW-2024-177_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-177_BLK,,24-06177,
24-06177_IW-2024-177_LFB,4/10/2024 0:00,IW-2024-177_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-177_LFB,,24-06177,
24-06177_IW-2024-177_MS,4/10/2024 0:00,IW-2024-177_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-177_MS,,24-06177,
24-06177_IW-2024-177_Dup,4/10/2024 0:00,IW-2024-177_Dup,,,,Water,LAB_D,24-06196_21469,,,Exact Scientific,IW-2024-177_Dup,,24-06177,
24-06177_IW-2024-184_BLK,4/18/2024 0:00,IW-2024-184_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-184_BLK,,24-06177,
24-06177_IW-2024-184_LFB,4/18/2024 0:00,IW-2024-184_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-184_LFB,,24-06177,
24-06177_IW-2024-184_MS,4/18/2024 0:00,IW-2024-184_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-184_MS,,24-06177,
24-06177_IW-2024-184_Dup,4/18/2024 0:00,IW-2024-184_Dup,,,,Water,LAB_D,24-6177_21371,,,Exact Scientific,IW-2024-184_Dup,,24-06177,
24-06177_WC1-2024-176_BLK,4/9/2024 0:00,WC1-2024-176_BLK,,,,Water,MB,,,,Exact Scientific,WC1-2024-176_BLK,,24-06177,
24-06177_WC1-2024-176_LFB,4/9/2024 0:00,WC1-2024-176_LFB,,,,Water,LCS,,,,Exact Scientific,WC1-2024-176_LFB,,24-06177,
24-06177_WC1-2024-176_Dup,4/9/2024 0:00,WC1-2024-176_Dup,,,,Water,LAB_D,24-06177_21371,,,Exact Scientific,WC1-2024-176_Dup,,24-06177,
24-06177_WC1-2024-181_BLK,4/10/2024 0:00,WC1-2024-181_BLK,,,,Water,MB,,,,Exact Scientific,WC1-2024-181_BLK,,24-06177,
24-06177_WC1-2024-181_LFB,4/10/2024 0:00,WC1-2024-181_LFB,,,,Water,LCS,,,,Exact Scientific,WC1-2024-181_LFB,,24-06177,
24-06177_WC1-2024-181_Dup,4/10/2024 0:00,WC1-2024-181_Dup,,,,Water,LAB_D,24-06046_20926,,,Exact Scientific,WC1-2024-181_Dup,,24-06177,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
