SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
24D0238_24D0238-02,4/9/2024 0:00,24-06177 21370 AS-IN,,,,Water,Normal,                    ,,24D0238,ARL,24D0238-02,,24D0238
24D0238_24D0238-01,4/9/2024 0:00,24-06177 21370 AS-IN,,,,Water,Normal,                    ,,24D0238,ARL,24D0238-01,,24D0238
24D0238_24D0238-03,4/9/2024 0:00,24-06177 21371 AS-OUT,,,,Water,Normal,                    ,,24D0238,ARL,24D0238-03,,24D0238
24D0238_24D0238-04,4/9/2024 0:00,24-06177 21371 AS-OUT,,,,Water,Normal,                    ,,24D0238,ARL,24D0238-04,,24D0238
24D0238_BMD0270-MS1,4/9/2024 0:00,24-06177 21370 AS-INMS,,,,Water,MS,24D0238_24D0238-01,,24D0238,ARL,BMD0270-MS1,,24D0238
24D0238_BMD0270-BLK1,4/10/2024 12:02,BMD0270-BLK1,,,,Water,MB,,,24D0238,ARL,BMD0270-BLK1,,24D0238
24D0238_BMD0451-BLK1,4/17/2024 11:21,BMD0451-BLK1,,,,Water,MB,,,24D0238,ARL,BMD0451-BLK1,,24D0238
24D0238_BMD0494-BLK1,4/18/2024 12:09,BMD0494-BLK1,,,,Water,MB,,,24D0238,ARL,BMD0494-BLK1,,24D0238
24D0238_BMD0535-BLK1,4/19/2024 16:20,BMD0535-BLK1,,,,Water,MB,,,24D0238,ARL,BMD0535-BLK1,,24D0238
24D0238_BMD0535-BLK2,4/19/2024 16:20,BMD0535-BLK2,,,,Water,MB,,,24D0238,ARL,BMD0535-BLK2,,24D0238
24D0238_BMD0535-BLK3,4/19/2024 16:20,BMD0535-BLK3,,,,Water,MB,,,24D0238,ARL,BMD0535-BLK3,,24D0238
24D0238_BMD0535-BLK4,4/19/2024 16:20,BMD0535-BLK4,,,,Water,MB,,,24D0238,ARL,BMD0535-BLK4,,24D0238
24D0238_BMD0270-BS1,4/10/2024 12:02,BMD0270-BS1,,,,Water,LCS,,,24D0238,ARL,BMD0270-BS1,,24D0238
24D0238_BMD0451-BS1,4/17/2024 11:21,BMD0451-BS1,,,,Water,LCS,,,24D0238,ARL,BMD0451-BS1,,24D0238
24D0238_BMD0494-BS1,4/18/2024 12:09,BMD0494-BS1,,,,Water,LCS,,,24D0238,ARL,BMD0494-BS1,,24D0238
24D0238_BMD0535-BS1,4/19/2024 16:20,BMD0535-BS1,,,,Water,LCS,,,24D0238,ARL,BMD0535-BS1,,24D0238
24D0238_BMD0535-BS2,4/19/2024 16:20,BMD0535-BS2,,,,Water,LCS,,,24D0238,ARL,BMD0535-BS2,,24D0238
24D0238_BMD0535-BS3,4/19/2024 16:20,BMD0535-BS3,,,,Water,LCS,,,24D0238,ARL,BMD0535-BS3,,24D0238
24D0238_BMD0535-BS4,4/19/2024 16:20,BMD0535-BS4,,,,Water,LCS,,,24D0238,ARL,BMD0535-BS4,,24D0238
24D0238_BMD0270-DUP1,4/9/2024 0:00,24-06177 21370 AS-INLDUP,,,,Water,LAB_D,24D0238_24D0238-01,,24D0238,ARL,BMD0270-DUP1,,24D0238
