Site,Sample Code,SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
,,24-07793_26963,5/6/2024 15:15,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-07793_26963,,24-07793
,,24-07793_26963,5/6/2024 15:15,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-07793_26963,,24-07793
,,24-07793_26963,5/6/2024 15:15,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-07793_26963,,24-07793
,,24-07793_26964,5/6/2024 15:21,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-07793_26964,,24-07793
,,24-07793_26964,5/6/2024 15:21,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-07793_26964,,24-07793
,,24-07793_26964,5/6/2024 15:21,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-07793_26964,,24-07793
,,24-07793_IW-2024-215_BLK,5/13/2024 0:00,IW-2024-215_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-215_BLK,,24-07793
,,24-07793_IW-2024-215_LFB,5/13/2024 0:00,IW-2024-215_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-215_LFB,,24-07793
,,24-07793_IW-2024-215_MS,5/13/2024 0:00,IW-2024-215_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-215_MS,,24-07793
,,24-07793_IW-2024-215_Dup,5/13/2024 0:00,IW-2024-215_Dup,,,,Water,LAB_D,24-07793_26964,,,Exact Scientific,IW-2024-215_Dup,,24-07793
,,24-07793_IW-2024-216_BLK,5/13/2024 0:00,IW-2024-216_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-216_BLK,,24-07793
,,24-067793_IW-2024-216_LFB,5/13/2024 0:00,IW-2024-216_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-216_LFB,,24-07793
,,24-07793_IW-2024-216_MS,5/13/2024 0:00,IW-2024-216_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-216_MS,,24-07793
,,24-07793_IW-2024-216_Dup,5/13/2024 0:00,IW-2024-216_Dup,,,,Water,LAB_D,24-07771_26920,,,Exact Scientific,IW-2024-216_Dup,,24-07793
,,24-07793_WC1-2024-224_BLK,5/10/2024 0:00,WC1-2024-224_BLK,,,,Water,MB,,,,Exact Scientific,WC1-2024-224_BLK,,24-07793
,,24-07793_WC1-2024-224_LFB,5/10/2024 0:00,WC1-2024-224_LFB,,,,Water,LCS,,,,Exact Scientific,WC1-2024-224_LFB,,24-07793
,,24-07793_WC1-2024-224_Dup,5/10/2024 0:00,WC1-2024-224_Dup,,,,Water,LAB_D,24-07916_27305,,,Exact Scientific,WC1-2024-224_Dup,,24-07793
