SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
24E0201_24E0201-02,5/6/2024 15:15,24-07793 26963 AS-IN,,,,Water,Normal,                    ,,24E0201,ARL,24E0201-02,,24E0201
24E0201_24E0201-01,5/6/2024 15:15,24-07793 26963 AS-IN,,,,Water,Normal,                    ,,24E0201,ARL,24E0201-01,,24E0201
24E0201_24E0201-03,5/6/2024 15:21,24-07793 26964 AS-OUT,,,,Water,Normal,                    ,,24E0201,ARL,24E0201-03,,24E0201
24E0201_24E0201-04,5/6/2024 15:21,24-07793 26964 AS-OUT,,,,Water,Normal,                    ,,24E0201,ARL,24E0201-04,,24E0201
24E0201_BME0235-MS1,5/6/2024 15:15,24-07793 26963 AS-INMS,,,,Water,MS,24E0201_24E0201-01,,24E0201,ARL,BME0235-MS1,,24E0201
24E0201_BME0235-BLK1,5/8/2024 15:48,BME0235-BLK1,,,,Water,MB,,,24E0201,ARL,BME0235-BLK1,,24E0201
24E0201_BME0269-BLK1,5/9/2024 12:37,BME0269-BLK1,,,,Water,MB,,,24E0201,ARL,BME0269-BLK1,,24E0201
24E0201_BME0269-BLK2,5/9/2024 12:37,BME0269-BLK2,,,,Water,MB,,,24E0201,ARL,BME0269-BLK2,,24E0201
24E0201_BME0345-BLK2,5/14/2024 4:18,BME0345-BLK2,,,,Water,MB,,,24E0201,ARL,BME0345-BLK2,,24E0201
24E0201_BME0346-BLK1,5/14/2024 4:26,BME0346-BLK1,,,,Water,MB,,,24E0201,ARL,BME0346-BLK1,,24E0201
24E0201_BME0235-BS1,5/8/2024 15:48,BME0235-BS1,,,,Water,LCS,,,24E0201,ARL,BME0235-BS1,,24E0201
24E0201_BME0269-BS1,5/9/2024 12:37,BME0269-BS1,,,,Water,LCS,,,24E0201,ARL,BME0269-BS1,,24E0201
24E0201_BME0269-BS2,5/9/2024 12:37,BME0269-BS2,,,,Water,LCS,,,24E0201,ARL,BME0269-BS2,,24E0201
24E0201_BME0345-BS2,5/14/2024 4:18,BME0345-BS2,,,,Water,LCS,,,24E0201,ARL,BME0345-BS2,,24E0201
24E0201_BME0346-BS1,5/14/2024 4:26,BME0346-BS1,,,,Water,LCS,,,24E0201,ARL,BME0346-BS1,,24E0201
24E0201_BME0235-DUP1,5/6/2024 15:15,24-07793 26963 AS-INLDUP,,,,Water,LAB_D,24E0201_24E0201-01,,24E0201,ARL,BME0235-DUP1,,24E0201
