SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,Lab_Analysis_ID,Lab_Preperation_Batch_ID,Lab_Analysis_Batch_ID,EQL,RDL,MDL,ODL,Detection_Limit_Units,Lab_Comments,Lab_Qualifier,UCL,LCL,Dilution_Factor,Spike_Concentration,Spike_Measurement,Spike_Units
24E0465_24E0465-01,7440-66-6,Zinc,,11.7,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/1/2024 10:32,6/5/2024 9:58,XDTm1240605043,BMF0011,SMF0053,2.92,6,2.92,,ug/L,Lab Batch BMF0011,,,,1,,,
24E0465_24E0465-01,7723-14-0,Phosphorus,,0.015,mg/L,T,REG,Total,SM 4500-P E-11,5/24/2024 12:08,5/31/2024 14:12,PO4T053124B011,BME0596,SMF0017,0.008,0.008,0.008,,mg/L,Lab Batch BME0596,,,,1,,,
24E0465_24E0465-02,7440-66-6,Zinc,,10.6,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/1/2024 11:15,6/5/2024 9:55,XDTm1240605041,BMF0013,SMF0053,2.92,6,2.92,,ug/L,Lab Batch BMF0013,,,,1,,,
24E0465_24E0465-03,7440-66-6,Zinc,,3.36,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/1/2024 10:32,6/5/2024 9:59,XDTm1240605044,BMF0011,SMF0053,2.92,6,2.92,,ug/L,Lab Batch BMF0011,J,,,1,,,
24E0465_24E0465-03,7723-14-0,Phosphorus,,0.019,mg/L,T,REG,Total,SM 4500-P E-11,5/24/2024 12:08,5/31/2024 14:13,PO4T053124B012,BME0596,SMF0017,0.008,0.008,0.008,,mg/L,Lab Batch BME0596,,,,1,,,
24E0465_24E0465-04,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/1/2024 11:15,6/5/2024 9:56,XDTm1240605042,BMF0013,SMF0053,2.92,6,2.92,,ug/L,Lab Batch BMF0013,U,,,1,,,
24E0465_BME0596-BLK1,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,5/23/2024 12:08,5/31/2024 13:59,PO4T053124B001,BME0596,SMF0017,0.008,0.008,0.008,,mg/L,Lab Batch BME0596,U,,,1,,,
24E0465_BME0596-BLK2,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,5/23/2024 12:08,5/31/2024 14:16,PO4T053124B013,BME0596,SMF0017,0.008,0.008,0.008,,mg/L,Lab Batch BME0596,U,,,1,,,
24E0465_BME0596-BLK3,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,5/23/2024 12:08,5/31/2024 14:52,PO4T053124B025,BME0596,SMF0017,0.008,0.008,0.008,,mg/L,Lab Batch BME0596,U,,,1,,,
24E0465_BME0596-BLK4,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,5/23/2024 12:08,5/31/2024 15:09,PO4T053124B029,BME0596,SMF0017,0.008,0.008,0.008,,mg/L,Lab Batch BME0596,U,,,1,,,
24E0465_BME0596-BS1,7723-14-0,Phosphorus,,105,%,T,SC,Total,SM 4500-P E-11,5/23/2024 12:08,5/31/2024 14:01,PO4T053124B002,BME0596,SMF0017,0.008,0.008,0.008,,mg/L,Lab Batch BME0596,,110,90,1,0.15,0.157,mg/L
24E0465_BME0596-BS2,7723-14-0,Phosphorus,,104,%,T,SC,Total,SM 4500-P E-11,5/23/2024 12:08,5/31/2024 14:17,PO4T053124B014,BME0596,SMF0017,0.008,0.008,0.008,,mg/L,Lab Batch BME0596,,110,90,1,0.15,0.156,mg/L
24E0465_BME0596-BS3,7723-14-0,Phosphorus,,109,%,T,SC,Total,SM 4500-P E-11,5/23/2024 12:08,5/31/2024 14:53,PO4T053124B026,BME0596,SMF0017,0.008,0.008,0.008,,mg/L,Lab Batch BME0596,,110,90,1,0.15,0.163,mg/L
24E0465_BME0596-BS4,7723-14-0,Phosphorus,,107,%,T,SC,Total,SM 4500-P E-11,5/23/2024 12:08,5/31/2024 15:10,PO4T053124B030,BME0596,SMF0017,0.008,0.008,0.008,,mg/L,Lab Batch BME0596,,110,90,1,0.15,0.16,mg/L
24E0465_BMF0011-BLK1,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/1/2024 10:32,6/4/2024 15:09,XDTm1240604046,BMF0011,SMF0030,2.92,6,2.92,,ug/L,Lab Batch BMF0011,U,,,1,,,
24E0465_BMF0011-BS1,7440-66-6,Zinc,,104,%,T,SC,Total,EPA 200.8 UCT-KED,6/1/2024 10:32,6/4/2024 15:14,XDTm1240604047,BMF0011,SMF0030,2.92,6,2.92,,ug/L,Lab Batch BMF0011,,120,80,1,80,83.5,ug/L
24E0465_BMF0013-BLK1,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/1/2024 11:15,6/5/2024 9:33,XDTm1240605028,BMF0013,SMF0053,2.92,6,2.92,,ug/L,Lab Batch BMF0013,U,,,1,,,
24E0465_BMF0013-BS1,7440-66-6,Zinc,,115,%,F,SC,Dissolved,EPA 200.8 UCT-KED,6/1/2024 11:15,6/5/2024 9:35,XDTm1240605029,BMF0013,SMF0053,2.92,6,2.92,,ug/L,Lab Batch BMF0013,,120,80,1,80,91.6,ug/L
