SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,Lab_Analysis_ID,Lab_Preperation_Batch_ID,Lab_Analysis_Batch_ID,EQL,RDL,MDL,ODL,Detection_Limit_Units,Lab_Comments,Lab_Qualifier,UCL,LCL,Dilution_Factor,Spike_Concentration,Spike_Measurement,Spike_Units
24-10044_34556,7440-50-8,Copper,,1.73,ug/L,T,REG,Total,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-259,0.3,2,0.3,,ug/L,,J,,,1,,,
24-10044_34556,7440-50-8,Copper,,1.59,ug/L,F,REG,Dissolved,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-257,0.3,2,0.3,,ug/L,,J,,,1,,,
24-10044_34556,TSS,TSS,<,2,mg/L,T,REG,Total,SM 2540D,6/12/2024 0:00,6/12/2024 0:00,24-10044,24-10044,WC1-2024-269,1,2,1,,mg/L,,,,,1,,,
24-10044_34557,7440-50-8,Copper,,1.47,ug/L,T,REG,Total,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-259,0.3,2,0.3,,ug/L,,J,,,1,,,
24-10044_34557,7440-50-8,Copper,,1.38,ug/L,F,REG,Dissolved,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-257,0.3,2,0.3,,ug/L,,J,,,1,,,
24-10044_34557,TSS,TSS,<,2,mg/L,T,REG,Total,SM 2540D,6/12/2024 0:00,6/12/2024 0:00,24-10044,24-10044,WC1-2024-269,1,2,1,,mg/L,,,,,1,,,
24-10044_IW-2024-257_BLK,7440-50-8,Copper,<,0.3,ug/L,T,SC,Total,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-257,0.3,2,0.3,,ug/L,,,,,1,,,
24-10044_IW-2024-257_LFB,7440-50-8,Copper,,110,%,T,SC,Total,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-257,0.3,2,0.3,,ug/L,,,115,85,1,50,55.2,ug/L
24-10044_IW-2024-257_MS,7440-50-8,Copper,,93,%,T,SC,Total,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-257,0.3,2,0.3,,ug/L,,,130,70,1,50,46.5,ug/L
24-10044_IW-2024-257_Dup,7440-50-8,Copper,,1.6,ug/L,T,REG,Total,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-257,0.3,2,0.3,,ug/L,,J,,,1,,,
24-10044_IW-2024-259_BLK,7440-50-8,Copper,<,0.3,ug/L,T,SC,Total,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-259,0.3,2,0.3,,ug/L,,,,,1,,,
24-10044_IW-2024-259_LFB,7440-50-8,Copper,,110,%,T,SC,Total,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-259,0.3,2,0.3,,ug/L,,,115,85,1,50,55.2,ug/L
24-10044_IW-2024-259_MS,7440-50-8,Copper,,93,%,T,SC,Total,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-259,0.3,2,0.3,,ug/L,,,130,70,1,50,46.5,ug/L
24-10044_IW-2024-259_Dup,7440-50-8,Copper,,1.73,ug/L,T,REG,Total,EPA 200.8,6/13/2024 0:00,6/13/2024 0:00,24-10044,24-10044,IW-2024-259,0.3,2,0.3,,ug/L,,J,,,1,,,
24-10044_WC1-2024-269_BLK,TSS,TSS,<,1,mg/L,T,SC,Total,SM 2540D,6/12/2024 0:00,6/12/2024 0:00,24-10044,24-10044,WC1-2024-269,1,1,1,,mg/L,,,,,1,,,
24-10044_WC1-2024-269_LFB,TSS,TSS,,94.8,%,T,SC,Total,SM 2540D,6/12/2024 0:00,6/12/2024 0:00,24-10044,24-10044,WC1-2024-269,1,40,1,,mg/L,,,106.7,90.1,1,1000,948,mg/L
24-10044_WC1-2024-269_Dup,TSS,TSS,,652,mg/L,T,REG,Total,SM 2540D,6/12/2024 0:00,6/12/2024 0:00,24-10044,24-10044,WC1-2024-269,1,5,1,,mg/L,,,,,1,,,
