SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,Lab_Analysis_ID,Lab_Preperation_Batch_ID,Lab_Analysis_Batch_ID,EQL,RDL,MDL,ODL,Detection_Limit_Units,Lab_Comments,Lab_Qualifier,UCL,LCL,Dilution_Factor,Spike_Concentration,Spike_Measurement,Spike_Units
24F0264_24F0264-01,7440-66-6,Zinc,,10.6,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/15/2024 14:01,6/27/2024 15:09,XDTm1240627066,BMF0412,SMF0367,2.92,6,2.92,,ug/L,Lab Batch BMF0412,,,,1,,,
24F0264_24F0264-01,7723-14-0,Phosphorus,,0.015,mg/L,T,REG,Total,SM 4500-P E-11,6/17/2024 15:16,6/20/2024 13:31,062024PO4TSRB2007,BMF0446,SMF0254,0.008,0.008,0.008,,mg/L,Lab Batch BMF0446,,,,1,,,
24F0264_24F0264-01,OrthoPhosphorus,Ortho Phosphorus,,0.004,mg/L,T,REG,Total,SM 4500-P E-11,6/12/2024 14:40,6/12/2024 15:20,061224PO4TSRBb2005,BMF0308,SMF0144,0.004,0.004,0.004,,mg/L,Lab Batch BMF0308,,,,1,,,
24F0264_24F0264-02,7440-66-6,Zinc,,8.59,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/15/2024 14:25,6/27/2024 15:13,XDTm1240627067,BMF0419,SMF0367,2.92,6,2.92,,ug/L,Lab Batch BMF0419,,,,1,,,
24F0264_24F0264-03,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/15/2024 14:01,6/27/2024 15:17,XDTm1240627068,BMF0412,SMF0367,2.92,6,2.92,,ug/L,Lab Batch BMF0412,U,,,1,,,
24F0264_24F0264-03,7723-14-0,Phosphorus,,0.01,mg/L,T,REG,Total,SM 4500-P E-11,6/17/2024 15:16,6/20/2024 13:31,062024PO4TSRB2008,BMF0446,SMF0254,0.008,0.008,0.008,,mg/L,Lab Batch BMF0446,,,,1,,,
24F0264_24F0264-03,OrthoPhosphorus,Ortho Phosphorus,<,0.004,mg/L,T,REG,Total,SM 4500-P E-11,6/12/2024 14:40,6/12/2024 15:27,061224PO4TSRBb2008,BMF0308,SMF0144,0.004,0.004,0.004,,mg/L,Lab Batch BMF0308,U,,,1,,,
24F0264_24F0264-04,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/15/2024 14:25,6/27/2024 15:20,XDTm1240627069,BMF0419,SMF0367,2.92,6,2.92,,ug/L,Lab Batch BMF0419,U,,,1,,,
24F0264_BMF0308-BLK1,OrthoPhosphorus,Ortho Phosphorus,<,0.004,mg/L,T,REG,Total,SM 4500-P E-11,6/12/2024 14:40,6/12/2024 15:19,061224PO4TSRBb2003,BMF0308,SMF0144,0.004,0.004,0.004,,mg/L,Lab Batch BMF0308,U,,,1,,,
24F0264_BMF0308-BS1,OrthoPhosphorus,Ortho Phosphorus,,104,%,T,SC,Total,SM 4500-P E-11,6/12/2024 14:40,6/12/2024 15:20,061224PO4TSRBb2004,BMF0308,SMF0144,0.004,0.004,0.004,,mg/L,Lab Batch BMF0308,,110,90,1,0.15,0.156,mg/L
24F0264_BMF0308-DUP1,OrthoPhosphorus,Ortho Phosphorus,,0.004,mg/L,T,REG,Total,SM 4500-P E-11,6/12/2024 14:40,6/12/2024 15:21,061224PO4TSRBb2006,BMF0308,SMF0144,0.004,0.004,0.004,,mg/L,Lab Batch BMF0308,,,,1,,,
