SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
24F0422_24F0422-02,6/15/2024 14:39,24-10364 35618 AS-IN,,,,Water,Normal,                    ,,24F0422,ARL,24F0422-02,,24F0422
24F0422_24F0422-01,6/15/2024 14:39,24-10364 35618 AS-IN,,,,Water,Normal,                    ,,24F0422,ARL,24F0422-01,,24F0422
24F0422_24F0422-04,6/15/2024 14:44,24-10364 35619 AS-OUT,,,,Water,Normal,                    ,,24F0422,ARL,24F0422-04,,24F0422
24F0422_24F0422-03,6/15/2024 14:44,24-10364 35619 AS-OUT,,,,Water,Normal,                    ,,24F0422,ARL,24F0422-03,,24F0422
24F0422_BMF0612-MS1,6/15/2024 14:39,24-10364 35618 AS-INMS,,,,Water,MS,24F0422_24F0422-01,,24F0422,ARL,BMF0612-MS1,,24F0422
24F0422_BMF0612-BLK1,6/24/2024 14:27,BMF0612-BLK1,,,,Water,MB,,,24F0422,ARL,BMF0612-BLK1,,24F0422
24F0422_BMF0612-BLK2,6/24/2024 14:27,BMF0612-BLK2,,,,Water,MB,,,24F0422,ARL,BMF0612-BLK2,,24F0422
24F0422_BMF0676-BLK1,6/26/2024 10:13,BMF0676-BLK1,,,,Water,MB,,,24F0422,ARL,BMF0676-BLK1,,24F0422
24F0422_BMF0678-BLK1,6/26/2024 10:25,BMF0678-BLK1,,,,Water,MB,,,24F0422,ARL,BMF0678-BLK1,,24F0422
24F0422_BMF0612-BS1,6/24/2024 14:27,BMF0612-BS1,,,,Water,LCS,,,24F0422,ARL,BMF0612-BS1,,24F0422
24F0422_BMF0612-BS2,6/24/2024 14:27,BMF0612-BS2,,,,Water,LCS,,,24F0422,ARL,BMF0612-BS2,,24F0422
24F0422_BMF0676-BS1,6/26/2024 10:13,BMF0676-BS1,,,,Water,LCS,,,24F0422,ARL,BMF0676-BS1,,24F0422
24F0422_BMF0678-BS1,6/26/2024 10:25,BMF0678-BS1,,,,Water,LCS,,,24F0422,ARL,BMF0678-BS1,,24F0422
24F0422_BMF0612-DUP1,6/15/2024 14:39,24-10364 35618 AS-INLDUP,,,,Water,LAB_D,24F0422_24F0422-01,,24F0422,ARL,BMF0612-DUP1,,24F0422
