"","SampleCode","ChemCode","OriginalChemName","Prefix","Result","Result_Unit","Total_or_Filtered","Result_Type","Method_Type","Method_Name","Extraction_Date","Analysed_Date","Lab_Analysis_ID","Lab_Preperation_Batch_ID","Lab_Analysis_Batch_ID","EQL","RDL","MDL","ODL","Detection_Limit_Units","Lab_Comments","Lab_Qualifier","UCL","LCL","Dilution_Factor","Spike_Concentration","Spike_Measurement","Spike_Units"
"1","24-03764_13089","7440-50-8","Copper","",3.44,"ug/L","T","REG","Total","EPA 200.8","3/4/2024 0:00","3/5/2024 0:00","24-03764","24-03764","IW-2024-84",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"2","24-03764_13089","7440-50-8","Copper","",1.42,"ug/L","F","REG","Dissolved","EPA 200.8","3/6/2024 0:00","3/6/2024 0:00","24-03764","24-03764","IW-2024-129",0.3,2,0.3,NA,"ug/L","","J",NA,NA,1,NA,NA,""
"3","24-03764_13089","NO3+NO2","Nitrtite-N + Nitrate-N","",0.916,"mg/L","F","REG","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_61",0.05,0.1,0.05,NA,"mg/L","","",NA,NA,1,NA,NA,""
"4","24-03764_13089","Hardness","Hardness","",46,"mg/L","T","REG","Total","SM 2340C","3/6/2024 0:00","3/6/2024","24-03764","24-03764","WC1-2024-112",1,10,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"5","24-03764_13089","TSS","TSS","",16.2,"mg/L","T","REG","Total","SM 2540D","3/1/2024","3/1/2024","24-03764","24-03764","WC1-2024-102",1,2,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"6","24-03764_13089","OrthoPhosphorus","OrthoPhosphorus","<",0.013,"mg/L","F","REG","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_60",0.013,0.05,0.013,NA,"mg/L","Not subcontracted due to day of collection and hold time","",NA,NA,1,NA,NA,""
"7","24-03764_13090","7440-50-8","Copper","",3.71,"ug/L","T","REG","Total","EPA 200.8","3/4/2024 0:00","3/5/2024 0:00","24-03764","24-03764","IW-2024-84",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"8","24-03764_13090","7440-50-8","Copper","",2.71,"ug/L","F","REG","Dissolved","EPA 200.8","3/4/2024 0:00","3/5/2024 0:00","24-03764","24-03764","IW-2024-84",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"9","24-03764_13090","NO3+NO2","Nitrtite-N + Nitrate-N","",0.595,"mg/L","F","REG","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_61",0.05,0.1,0.05,NA,"mg/L","","",NA,NA,1,NA,NA,""
"10","24-03764_13090","Hardness","Hardness","",40,"mg/L","T","REG","Total","SM 2340C","3/6/2024 0:00","3/6/2024","24-03764","24-03764","WC1-2024-112",1,10,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"11","24-03764_13090","TSS","TSS","<",1.7,"mg/L","T","REG","Total","SM 2540D","3/1/2024","3/1/2024","24-03764","24-03764","WC1-2024-102",1,1.7,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"12","24-03764_13090","OrthoPhosphorus","OrthoPhosphorus","<",0.013,"mg/L","F","REG","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_60",0.013,0.05,0.013,NA,"mg/L","Not subcontracted due to day of collection and hold time","",NA,NA,1,NA,NA,""
"13","24-03764_WC3_2024_61_BLK","NO3+NO2","Nitrtite-N + Nitrate-N","<",0.05,"mg/L","F","SC","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_61",0.05,0.1,0.05,NA,"mg/L","","",NA,NA,1,NA,NA,""
"14","24-03764_WC3_2024_61_LFB","NO3+NO2","Nitrtite-N + Nitrate-N","",98,"%","T","SC","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_61",0.05,0.1,0.05,NA,"mg/L","","",110,90,1,10,9.8,"mg/L"
"15","24-03764_WC3_2024_61_MS","NO3+NO2","Nitrtite-N + Nitrate-N","",91.9,"%","T","SC","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_61",0.05,0.1,0.05,NA,"mg/L","","",120,80,1,10,9.19,"mg/L"
"16","24-03764_WC3_2024_61_Dup","NO3+NO3","Nitrtite-N + Nitrate-N","",0.582,"mg/L","F","REG","Total","EPA 300.0","3/1/2024","3/1/2024","24-03764","24-03764","WC3_2024_61",0.05,0.1,0.05,NA,"mg/L","","",NA,NA,1,NA,NA,""
"17","24-03764_IW-2024-84_BLK","7440-50-8","Copper","<",0.3,"ug/L","T","SC","Total","EPA 200.8","3/4/2024 0:00","3/5/2024 0:00","24-03764","24-03764","IW-2024-84",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"18","24-03764_IW-2024-84_LFB","7440-50-8","Copper","",105,"%","T","SC","Total","EPA 200.8","3/4/2024 0:00","3/5/2024 0:00","24-03764","24-03764","IW-2024-84",0.3,2,0.3,NA,"ug/L","Digested","",115,85,1,50,52.7,"ug/L"
"19","24-03764_IW-2024-84_MS","7440-50-8","Copper","",98.5,"%","T","SC","Total","EPA 200.8","3/4/2024 0:00","3/5/2024 0:00","24-03764","24-03764","IW-2024-84",0.3,2,0.3,NA,"ug/L","Digested","",130,70,1,50,49.2,"ug/L"
"20","24-03764_IW-2024-84_Dup","7440-50-8","Copper","",3.04,"ug/L","T","REG","Total","EPA 200.8","3/4/2024 0:00","3/5/2024 0:00","24-03764","24-03764","IW-2024-84",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"21","24-03764_IW-2024-129_BLK","7440-50-8","Copper","<",0.3,"ug/L","T","SC","Total","EPA 200.8","3/6/2024 0:00","3/6/2024 0:00","24-03764","24-03764","IW-2024-129",0.3,2,0.3,NA,"ug/L","","",NA,NA,1,NA,NA,""
"22","24-03764_IW-2024-129_LFB","7440-50-8","Copper","",101,"%","T","SC","Total","EPA 200.8","3/6/2024 0:00","3/6/2024 0:00","24-03764","24-03764","IW-2024-129",0.3,2,0.3,NA,"ug/L","","",115,85,1,50,50.4,"ug/L"
"23","24-03764_IW-2024-129_MS","7440-50-8","Copper","",109,"%","T","SC","Total","EPA 200.8","3/6/2024 0:00","3/6/2024 0:00","24-03764","24-03764","IW-2024-129",0.3,2,0.3,NA,"ug/L","","",130,70,1,50,54.6,"ug/L"
