"","Site","Sample.Code","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1",NA,NA,"24-07793_26963","5/6/2024 15:15","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-07793_26963",NA,"24-07793"
"2",NA,NA,"24-07793_26964","5/6/2024 15:21","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-07793_26964",NA,"24-07793"
"3",NA,NA,"24-07793_IW-2024-215_BLK","5/13/2024 0:00","IW-2024-215_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-215_BLK",NA,"24-07793"
"4",NA,NA,"24-07793_IW-2024-215_LFB","5/13/2024 0:00","IW-2024-215_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-215_LFB",NA,"24-07793"
"5",NA,NA,"24-07793_IW-2024-215_MS","5/13/2024 0:00","IW-2024-215_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-215_MS",NA,"24-07793"
"6",NA,NA,"24-07793_IW-2024-215_Dup","5/13/2024 0:00","IW-2024-215_Dup",NA,NA,NA,"Water","LAB_D","24-07793_26964",NA,NA,"Exact Scientific","IW-2024-215_Dup",NA,"24-07793"
"7",NA,NA,"24-07793_IW-2024-216_BLK","5/13/2024 0:00","IW-2024-216_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-216_BLK",NA,"24-07793"
"8",NA,NA,"24-067793_IW-2024-216_LFB","5/13/2024 0:00","IW-2024-216_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-216_LFB",NA,"24-07793"
"9",NA,NA,"24-07793_IW-2024-216_MS","5/13/2024 0:00","IW-2024-216_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-216_MS",NA,"24-07793"
"10",NA,NA,"24-07793_IW-2024-216_Dup","5/13/2024 0:00","IW-2024-216_Dup",NA,NA,NA,"Water","LAB_D","24-07771_26920",NA,NA,"Exact Scientific","IW-2024-216_Dup",NA,"24-07793"
"11",NA,NA,"24-07793_WC1-2024-224_BLK","5/10/2024 0:00","WC1-2024-224_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC1-2024-224_BLK",NA,"24-07793"
"12",NA,NA,"24-07793_WC1-2024-224_LFB","5/10/2024 0:00","WC1-2024-224_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC1-2024-224_LFB",NA,"24-07793"
"13",NA,NA,"24-07793_WC1-2024-224_Dup","5/10/2024 0:00","WC1-2024-224_Dup",NA,NA,NA,"Water","LAB_D","24-07916_27305",NA,NA,"Exact Scientific","WC1-2024-224_Dup",NA,"24-07793"
"14",NA,NA,"24E0201_24E0201-02","5/6/2024 15:15","AS-IN",NA,NA,NA,"Water","Normal","                    ",NA,2.4e+202,"ARL","24E0201-02",NA,"24-07793"
"15",NA,NA,"24E0201_24E0201-01","5/6/2024 15:15","AS-IN",NA,NA,NA,"Water","Normal","                    ",NA,2.4e+202,"ARL","24E0201-01",NA,"24-07793"
"16",NA,NA,"24E0201_24E0201-03","5/6/2024 15:21","AS-OUT",NA,NA,NA,"Water","Normal","                    ",NA,2.4e+202,"ARL","24E0201-03",NA,"24-07793"
"17",NA,NA,"24E0201_24E0201-04","5/6/2024 15:21","AS-OUT",NA,NA,NA,"Water","Normal","                    ",NA,2.4e+202,"ARL","24E0201-04",NA,"24-07793"
"18",NA,NA,"24E0201_BME0235-MS1","5/6/2024 15:15","AS-INMS",NA,NA,NA,"Water","MS","24E0201_24E0201-01",NA,2.4e+202,"ARL","BME0235-MS1",NA,"24-07793"
"19",NA,NA,"24E0201_BME0235-BLK1","5/8/2024 15:48","BME0235-BLK1",NA,NA,NA,"Water","MB","",NA,2.4e+202,"ARL","BME0235-BLK1",NA,"24-07793"
"20",NA,NA,"24E0201_BME0269-BLK1","5/9/2024 12:37","BME0269-BLK1",NA,NA,NA,"Water","MB","",NA,2.4e+202,"ARL","BME0269-BLK1",NA,"24-07793"
"21",NA,NA,"24E0201_BME0269-BLK2","5/9/2024 12:37","BME0269-BLK2",NA,NA,NA,"Water","MB","",NA,2.4e+202,"ARL","BME0269-BLK2",NA,"24-07793"
"22",NA,NA,"24E0201_BME0345-BLK2","5/14/2024 4:18","BME0345-BLK2",NA,NA,NA,"Water","MB","",NA,2.4e+202,"ARL","BME0345-BLK2",NA,"24-07793"
"23",NA,NA,"24E0201_BME0346-BLK1","5/14/2024 4:26","BME0346-BLK1",NA,NA,NA,"Water","MB","",NA,2.4e+202,"ARL","BME0346-BLK1",NA,"24-07793"
"24",NA,NA,"24E0201_BME0235-BS1","5/8/2024 15:48","BME0235-BS1",NA,NA,NA,"Water","LCS","",NA,2.4e+202,"ARL","BME0235-BS1",NA,"24-07793"
"25",NA,NA,"24E0201_BME0269-BS1","5/9/2024 12:37","BME0269-BS1",NA,NA,NA,"Water","LCS","",NA,2.4e+202,"ARL","BME0269-BS1",NA,"24-07793"
"26",NA,NA,"24E0201_BME0269-BS2","5/9/2024 12:37","BME0269-BS2",NA,NA,NA,"Water","LCS","",NA,2.4e+202,"ARL","BME0269-BS2",NA,"24-07793"
"27",NA,NA,"24E0201_BME0345-BS2","5/14/2024 4:18","BME0345-BS2",NA,NA,NA,"Water","LCS","",NA,2.4e+202,"ARL","BME0345-BS2",NA,"24-07793"
"28",NA,NA,"24E0201_BME0346-BS1","5/14/2024 4:26","BME0346-BS1",NA,NA,NA,"Water","LCS","",NA,2.4e+202,"ARL","BME0346-BS1",NA,"24-07793"
"29",NA,NA,"24E0201_BME0235-DUP1","5/6/2024 15:15","AS-INLDUP",NA,NA,NA,"Water","LAB_D","24E0201_24E0201-01",NA,2.4e+202,"ARL","BME0235-DUP1",NA,"24-07793"
