"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number","X"
"1","24-08815_30384","5/21/2024","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08815_30384",NA,"24-08815",NA
"2","24-08815_30384","5/21/2024","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08815_30384",NA,"24-08815",NA
"3","24-08815_30384","5/21/2024","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08815_30384",NA,"24-08815",NA
"4","24-08815_30384","5/21/2024","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08815_30384",NA,"24-08815",NA
"5","24-08815_30385","5/21/2024","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08815_30385",NA,"24-08815",NA
"6","24-08815_30385","5/21/2024","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08815_30385",NA,"24-08815",NA
"7","24-08815_30385","5/21/2024","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08815_30385",NA,"24-08815",NA
"8","24-08815_30385","5/21/2024","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08815_30385",NA,"24-08815",NA
"9","24-08815_OC3-2024-12_BLK","5/29/2024","OC3-2024-12_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","OC3-2024-12_BLK",NA,"24-08815",NA
"10","24-08815_OC3-2024-12_LFB","5/29/2024","OC3-2024-12_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","OC3-2024-12_LFB",NA,"24-08815",NA
"11","24-08815_OC3-2024-12_DUP","5/29/2024","OC3-2024-12_DUP",NA,NA,NA,"Water","LAB_D","24-08754_30178",NA,NA,"Exact Scientific","OC3-2024-12_DUP",NA,"24-08815",NA
"12","24-08815_MBMF-240521_BLK","5/21/2024","MBMF-240521_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","MBMF-240521_BLK",NA,"24-08815",NA
"13","24-08815_MBMF-240521_DUP","5/21/2024","MBMF-240521_DUP",NA,NA,NA,"Water","LAB_D","24-08785_30286",NA,NA,"Exact Scientific","MBMF-240521_DUP",NA,"24-08815",NA
