"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1","24-09453_32665","6/3/24 11:33 AM","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-09453_32665",NA,"24-09453"
"2","24-09453_32666","6/3/24 11:40 AM","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-09453_32666",NA,"24-09453"
"3","24-09453_32667","6/3/24 11:33 AM","AS-IN-QA",NA,NA,NA,"Water","Field_D","AS-IN",NA,NA,"Exact Scientific","24-09453_32667",NA,"24-09453"
"4","24-09453_WC3_2024_153_BLK","6/18/2024","WC3_2024_153_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC3_2024_153_BLK",NA,"24-09453"
"5","24-09443_WC3_2024_153_LFB","6/18/2024","WC3_2024_153_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC3_2024_153_LFB",NA,"24-09453"
"6","24-09453_WC3_2024_153_MS","6/18/2024","WC3_2024_153_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","WC3_2024_153_MS",NA,"24-09453"
"7","24-09453_WC3_2024_153_Dup","6/18/2024","WC3_2024_153_Dup",NA,NA,NA,"Water","LAB_D","24-10268_35323",NA,NA,"Exact Scientific","WC3_2024_153_Dup",NA,"24-09453"
"8","24-09453_IW-2024-247_BLK","6/5/2024 0:00","IW-2024-247_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-247_BLK",NA,"24-09453"
"9","24-09453_IW-2024-247_LFB","6/5/2024 0:00","IW-2024-247_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-247_LFB",NA,"24-09453"
"10","24-09453_IW-2024-247_MS","6/5/2024 0:00","IW-2024-247_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-247_MS",NA,"24-09453"
"11","24-09453_IW-2024-247_Dup","6/5/2024 0:00","IW-2024-247_Dup",NA,NA,NA,"Water","LAB_D","24-09950_34237",NA,NA,"Exact Scientific","IW-2024-247_Dup",NA,"24-09453"
"12","24-09453_IW-2024-249_BLK","6/5/2024 0:00","IW-2024-249_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-249_BLK",NA,"24-09453"
"13","24-09453_IW-2024-249_LFB","6/5/2024 0:00","IW-2024-249_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-249_LFB",NA,"24-09453"
"14","24-09453_IW-2024-249_MS","6/5/2024 0:00","IW-2024-249_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-249_MS",NA,"24-09453"
