"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"2","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"3","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"4","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"5","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"6","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"7","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"8","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"9","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"10","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"11","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"12","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"13","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"14","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"15","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"16","L84195_L84161-11","7/9/2024 10:29","","",NA,"","Water","Normal","","","L84195","KCEL","L84161-11","","L84195"
"17","L84195_L84195-1","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-1","","L84195"
"18","L84195_L84195-1","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-1","","L84195"
"19","L84195_L84195-1","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-1","","L84195"
"20","L84195_L84195-1","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-1","","L84195"
"21","L84195_L84195-1","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-1","","L84195"
"22","L84195_L84195-1","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-1","","L84195"
"23","L84195_L84195-1","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-1","","L84195"
"24","L84195_L84195-2","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-2","","L84195"
"25","L84195_L84195-2","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-2","","L84195"
"26","L84195_L84195-2","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-2","","L84195"
"27","L84195_L84195-2","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-2","","L84195"
"28","L84195_L84195-2","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-2","","L84195"
"29","L84195_L84195-2","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-2","","L84195"
"30","L84195_L84195-2","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-2","","L84195"
"31","L84195_L84195-3","7/10/2024 13:14","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-3","","L84195"
"32","L84195_L84195-3","7/10/2024 13:14","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-3","","L84195"
"33","L84195_L84195-3","7/10/2024 13:14","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-3","","L84195"
"34","L84195_L84195-3","7/10/2024 13:14","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-3","","L84195"
"35","L84195_L84195-3","7/10/2024 13:14","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-3","","L84195"
"36","L84195_L84195-3","7/10/2024 13:14","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-3","","L84195"
"37","L84195_L84195-3","7/10/2024 13:14","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-3","","L84195"
"38","L84195_L84195-3","7/10/2024 13:14","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-3","","L84195"
"39","L84195_L84195-3","7/10/2024 13:14","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-3","","L84195"
"40","L84195_L84195-3","7/10/2024 13:14","","",NA,"","Water","Normal","","","L84195","KCEL","L84195-3","","L84195"
