SDG,Laboratory Contact,Destination Laboratory,Date Sent,Relinquished By,Primary Contact,Turnaround Request,Special Instructions,Cooled,Lab Quote No,Lab Recipient,Lab Report Number,Lab Name,Project ID,Date Reported,Project Name,Lab Signatory,Report Recipient1,Expiration Date,Lab Contact Email,Primary Recipient Org,Site,Sample Code,Field ID,Sampled Date Time,Location Code,Well,Sample Depth From,Sample Depth To,Matrix Type,Sample Type,Parent Sample,Sample Comments,Sampled By,Sampling Method,Lab Sample ID,Lab Comments,Chem Code,Original Chem Name,Prefix,Result,Result Unit,Total or Filtered,Result Type,Method Type,Method Name,Extraction Date,Analysed Date,EQL,EQL Units,Lab Comments,Lab Qualifier,UCL,LCL,MDL,RDL,Dilution Factor,Spike Concentration,Spike Measurement,Spike Units,Lab Preperation Batch ID,Lab Analysis Batch ID,Lab Analysis ID,Extraction Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-01,RichardsBelRM0.4-20241011,10/11/2024 11:20,,,,,Water,Normal,,,David Garcia,,2410-172-01,,NA,Total Suspended Solids,<,0.80,mg/L,T,REG,Wet Chemistry,SM 2540D,10/14/2024,10/14/2024,0.80,mg/L,,,,,,0.80,,,,,10/14/2024_SM 2540D,10/14/2024_SM 2540D,10/14/2024_SM 2540D,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-02,VasaBelRM0.1-20241011,10/11/2024 10:20,,,,,Water,Normal,,,David Garcia,,2410-172-02,,NA,Total Suspended Solids,<,0.80,mg/L,T,REG,Wet Chemistry,SM 2540D,10/14/2024,10/14/2024,0.80,mg/L,,,,,,0.80,,,,,10/14/2024_SM 2540D,10/14/2024_SM 2540D,10/14/2024_SM 2540D,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-03,WestTribFarmRM0.4-20241011,10/11/2024 11:35,,,,,Water,Normal,,,David Garcia,,2410-172-03,,NA,Total Suspended Solids,<,0.80,mg/L,T,REG,Wet Chemistry,SM 2540D,10/14/2024,10/14/2024,0.80,mg/L,,,,,,0.80,,,,,10/14/2024_SM 2540D,10/14/2024_SM 2540D,10/14/2024_SM 2540D,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-04,ValleyAPTS_21-20241011,10/11/2024 11:00,,,,,Water,Normal,,,David Garcia,,2410-172-04,,NA,Total Suspended Solids,<,0.80,mg/L,T,REG,Wet Chemistry,SM 2540D,10/14/2024,10/14/2024,0.80,mg/L,,,,,,0.80,,,,,10/14/2024_SM 2540D,10/14/2024_SM 2540D,10/14/2024_SM 2540D,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-05,YarrowMain_21-20241011,10/11/2024 09:30,,,,,Water,Normal,,,David Garcia,,2410-172-05,,NA,Total Suspended Solids,<,0.80,mg/L,T,REG,Wet Chemistry,SM 2540D,10/14/2024,10/14/2024,0.80,mg/L,,,,,,0.80,,,,,10/14/2024_SM 2540D,10/14/2024_SM 2540D,10/14/2024_SM 2540D,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-06,NewportBelRM0.0-20241011,10/11/2024 09:35,,,,,Water,Normal,,,David Garcia,,2410-172-06,,NA,Total Suspended Solids,<,0.80,mg/L,T,REG,Wet Chemistry,SM 2540D,10/14/2024,10/14/2024,0.80,mg/L,,,,,,0.80,,,,,10/14/2024_SM 2540D,10/14/2024_SM 2540D,10/14/2024_SM 2540D,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-07,QA25Tier2-20241011,10/11/2024 11:35,,,,,Water,Normal,,,David Garcia,,2410-172-07,,NA,Total Suspended Solids,<,0.80,mg/L,T,REG,Wet Chemistry,SM 2540D,10/14/2024,10/14/2024,0.80,mg/L,,,,,,0.80,,,,,10/14/2024_SM 2540D,10/14/2024_SM 2540D,10/14/2024_SM 2540D,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,24MB1014W2,24MB1014W2,,,,,,Water,MB,,,David Garcia,,24MB1014W2,,NA,Total Suspended Solids,<,0.80,mg/L,T,REG,Wet Chemistry,SM 2540D,10/14/2024,10/14/2024,0.80,mg/L,,,,,,0.80,,,,,10/14/2024_SM 2540D,10/14/2024_SM 2540D,10/14/2024_SM 2540D,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,2410-172-01 DUP,2410-172-01 DUP,,,,,,Water,LAB_D,RichardsBelRM0.4-20241011,,David Garcia,,2410-172-01 DUP,,NA,Total Suspended Solids,<,,mg/L,T,REG,Wet Chemistry,SM 2540D,10/14/2024,10/14/2024,0.80,mg/L,,,,,,0.80,,,,,10/14/2024_SM 2540D,10/14/2024_SM 2540D,10/14/2024_SM 2540D,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410-172,Karl Hornyik,OnSite Environmental Inc.,10/11/24,Herrera,David Garcia,,,,,,2410-172,OnSite Environmental Inc.,"19-07202-006, Task 18",10/21/24,Bellevue Utilities Environment Monitoring,Karl Hornyik,David Garcia,,dbaumeister@onsite-env.com,Herrera,Bellevue Utilities Environment Monitoring,24SB1014W1MS,24SB1014W1MS,,,,,,Water,LCS,,,David Garcia,,24SB1014W1MS,,NA,Total Suspended Solids,,92,%,T,SC,Wet Chemistry,SM 2540D,10/14/2024,10/14/2024,0.80,%,,,112,62,,0.80,,100,92.0,mg/L,10/14/2024_SM 2540D,10/14/2024_SM 2540D,10/14/2024_SM 2540D,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
