"","OriginalChemName","Result","MDL","RDL","SampleCode","ChemCode","Prefix","Result_Unit","Total_or_Filtered","Result_Type","Method_Type","Method_Name","Extraction_Date","Anaysed_Date","Lab_Analysis_ID","Lab_Preperation_Batch_ID","Lab_Analysis_Batch_ID","EQL","ODL","Detection_Limit_Units","Lab_Comments","Lab_Qualifier","UCL","LCL","Dilution_Factor","Spike_Concentration","Spike_Measurement","Spike_Units"
"1","Ammonia Nitrogen",0.0156,0.002,0.01,"L84195_L84161-11",NA,"","mg/L","","REG","","KEROUEL & AMINOT 1997","7/10/2024 8:08","7/10/2024 11:55","L84161-11","","",0.01,"","mg/L","","","","",1,"","",""
"2","Ammonia Nitrogen",0.0196,0.002,0.01,"L84195_L84196-3",NA,"","mg/L","","REG","","KEROUEL & AMINOT 1997","7/11/2024 8:13","7/11/2024 11:44","L84196-3","","",0.01,"","mg/L","","","","",1,"","",""
"3","Ammonia Nitrogen",0.0175,0.002,0.01,"L84195_L84196-4",NA,"","mg/L","","REG","","KEROUEL & AMINOT 1997","7/11/2024 8:13","7/11/2024 11:56","L84196-4","","",0.01,"","mg/L","","","","",1,"","",""
"4","Calcium, Total, ICP-MS",49300,50,50,"L84195_L84195-1",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/16/2024 11:03","7/17/2024 8:31","L84195-1","","",50,"","ug/L","","","","",1,"","",""
"5","Calcium, Total, ICP-MS",26400,50,50,"L84195_L84195-2",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/16/2024 11:03","7/17/2024 8:42","L84195-2","","",50,"","ug/L","","","","",1,"","",""
"6","Calcium, Total, ICP-MS",22700,50,50,"L84195_L84195-3",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/16/2024 11:03","7/17/2024 8:46","L84195-3","","",50,"","ug/L","","","","",1,"","",""
"7","Calcium, Total, ICP-MS",17900,50,50,"L84195_L84195-4",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/16/2024 11:03","7/17/2024 8:50","L84195-4","","",50,"","ug/L","","","","",1,"","",""
"8","Conductivity, Field",184.3,0.5,10,"L84195_L84161-11",NA,"","umhos/cm","","REG","","KCEL SOP# 245","7/9/2024 10:29","7/9/2024 10:29","L84161-11","","",10,"","umhos/cm","","","","",1,"","",""
"9","Conductivity, Field",268.7,0.5,10,"L84195_L84195-3",NA,"","umhos/cm","","REG","","KCEL SOP# 245","7/10/2024 13:14","7/10/2024 13:14","L84195-3","","",10,"","umhos/cm","","","","",1,"","",""
"10","Conductivity, Field",645,0.5,10,"L84195_L84196-3",NA,"","umhos/cm","","REG","","KCEL SOP# 245","7/10/2024 12:06","7/10/2024 12:06","L84196-3","","",10,"","umhos/cm","","","","",1,"","",""
"11","Conductivity, Field",286.9,0.5,10,"L84195_L84196-4",NA,"","umhos/cm","","REG","","KCEL SOP# 245","7/10/2024 12:46","7/10/2024 12:46","L84196-4","","",10,"","umhos/cm","","","","",1,"","",""
"12","Copper, Dissolved, ICP-MS",0.42,0.2,2,"L84195_L84195-1",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/17/2024 8:32","7/24/2024 8:41","L84195-1","","",2,"","ug/L","","<RDL","","",1,"","",""
"13","Copper, Dissolved, ICP-MS",0.46,0.2,2,"L84195_L84195-2",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/17/2024 8:32","7/24/2024 8:44","L84195-2","","",2,"","ug/L","","<RDL","","",1,"","",""
"14","Copper, Dissolved, ICP-MS",1.2,0.2,2,"L84195_L84195-3",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/17/2024 8:32","7/24/2024 8:56","L84195-3","","",2,"","ug/L","","<RDL","","",1,"","",""
"15","Copper, Dissolved, ICP-MS",2,0.2,2,"L84195_L84195-4",NA,"","ug/L","","REG","","EPA 200.8 (MOD)","7/17/2024 8:32","7/24/2024 9:00","L84195-4","","",2,"","ug/L","","<RDL","","",1,"","",""
"16","Dissolved Oxygen, Field",9.13,0.5,1,"L84195_L84161-11",NA,"","mg/L","","REG","","KCEL SOP# 245","7/9/2024 10:29","7/9/2024 10:29","L84161-11","","",1,"","mg/L","","","","",1,"","",""
"17","Dissolved Oxygen, Field",8.94,0.5,1,"L84195_L84195-3",NA,"","mg/L","","REG","","KCEL SOP# 245","7/10/2024 13:14","7/10/2024 13:14","L84195-3","","",1,"","mg/L","","","","",1,"","",""
